03.08.2014	08:56:54	172	541	
03.08.2014	08:56:54	174	542	
03.08.2014	08:56:54	176	542	
03.08.2014	08:56:54	176	543	
03.08.2014	08:56:54	176	544	
03.08.2014	08:56:54	176	543	
03.08.2014	08:56:54	176	543	
03.08.2014	08:56:54	172	540	
03.08.2014	08:56:54	176	539	
03.08.2014	08:56:54	172	537	
03.08.2014	08:56:54	172	543	
03.08.2014	08:56:54	178	543	
03.08.2014	08:56:54	177	543	
03.08.2014	08:56:54	176	543	
03.08.2014	08:56:55	173	541	
03.08.2014	08:56:55	177	539	
03.08.2014	08:56:55	176	543	
03.08.2014	08:56:55	173	539	
03.08.2014	08:56:55	176	543	
03.08.2014	08:56:55	176	543	
03.08.2014	08:56:55	174	540	
03.08.2014	08:56:55	174	539	
03.08.2014	08:56:55	176	548	
03.08.2014	08:56:55	172	539	
03.08.2014	08:56:55	175	544	
03.08.2014	08:56:55	174	543	
03.08.2014	08:56:55	174	540	
03.08.2014	08:56:55	176	543	
03.08.2014	08:56:55	173	541	
03.08.2014	08:56:55	179	550	
03.08.2014	08:56:55	176	541	
03.08.2014	08:56:55	180	548	
03.08.2014	08:56:55	174	547	
03.08.2014	08:56:55	178	543	
03.08.2014	08:56:55	172	541	
03.08.2014	08:56:55	177	539	
03.08.2014	08:56:56	176	544	
03.08.2014	08:56:56	177	541	
03.08.2014	08:56:56	179	541	
03.08.2014	08:56:56	177	543	
03.08.2014	08:56:56	172	539	
03.08.2014	08:56:56	177	543	
03.08.2014	08:56:56	176	543	
03.08.2014	08:56:56	176	539	
03.08.2014	08:56:56	178	544	
03.08.2014	08:56:56	176	543	
03.08.2014	08:56:56	174	541	
03.08.2014	08:56:56	178	542	
03.08.2014	08:56:56	177	541	
03.08.2014	08:56:56	176	541	
03.08.2014	08:56:56	176	541	
03.08.2014	08:56:56	174	541	
03.08.2014	08:56:56	176	543	
03.08.2014	08:56:56	172	543	
03.08.2014	08:56:56	178	543	
03.08.2014	08:56:56	176	539	
03.08.2014	08:56:56	175	535	
03.08.2014	08:56:56	174	543	
03.08.2014	08:56:57	177	548	
03.08.2014	08:56:57	176	540	
03.08.2014	08:56:57	177	543	
03.08.2014	08:56:57	176	541	
03.08.2014	08:56:57	176	539	
03.08.2014	08:56:57	175	539	
03.08.2014	08:56:57	176	545	
03.08.2014	08:56:57	176	535	
03.08.2014	08:56:57	171	541	
03.08.2014	08:56:57	177	543	
03.08.2014	08:56:57	179	543	
03.08.2014	08:56:57	177	543	
03.08.2014	08:56:57	174	543	
03.08.2014	08:56:57	175	535	
03.08.2014	08:56:57	177	543	
03.08.2014	08:56:57	175	541	
03.08.2014	08:56:57	178	543	
03.08.2014	08:56:57	179	543	
03.08.2014	08:56:57	175	537	
03.08.2014	08:56:57	172	539	
03.08.2014	08:56:57	179	543	
03.08.2014	08:56:58	176	539	
03.08.2014	08:56:58	174	539	
03.08.2014	08:56:58	176	538	
03.08.2014	08:56:58	177	541	
03.08.2014	08:56:58	172	541	
03.08.2014	08:56:58	175	543	
03.08.2014	08:56:58	172	541	
03.08.2014	08:56:58	173	535	
03.08.2014	08:56:58	173	541	
03.08.2014	08:56:58	177	541	
03.08.2014	08:56:58	176	543	
03.08.2014	08:56:58	174	539	
03.08.2014	08:56:58	177	543	
03.08.2014	08:56:58	176	543	
03.08.2014	08:56:58	180	543	
03.08.2014	08:56:58	174	539	
03.08.2014	08:56:58	175	535	
03.08.2014	08:56:58	177	542	
03.08.2014	08:56:58	177	543	
03.08.2014	08:56:58	176	548	
03.08.2014	08:56:58	172	548	
03.08.2014	08:56:59	179	546	
03.08.2014	08:56:59	178	543	
03.08.2014	08:56:59	174	546	
03.08.2014	08:56:59	177	545	
03.08.2014	08:56:59	176	544	
03.08.2014	08:56:59	179	546	
03.08.2014	08:56:59	177	543	
03.08.2014	08:56:59	173	548	
03.08.2014	08:56:59	175	549	
03.08.2014	08:56:59	175	546	
03.08.2014	08:56:59	176	541	
03.08.2014	08:56:59	172	546	
03.08.2014	08:56:59	176	545	
03.08.2014	08:56:59	180	546	
03.08.2014	08:56:59	178	548	
03.08.2014	08:56:59	174	544	
03.08.2014	08:56:59	173	544	
03.08.2014	08:56:59	175	544	
03.08.2014	08:56:59	177	543	
03.08.2014	08:56:59	177	543	
03.08.2014	08:56:59	178	543	
03.08.2014	08:56:59	175	543	
03.08.2014	08:57:00	174	543	
03.08.2014	08:57:00	176	539	
03.08.2014	08:57:00	174	543	
03.08.2014	08:57:00	171	537	
03.08.2014	08:57:00	175	541	
03.08.2014	08:57:00	179	547	
03.08.2014	08:57:00	175	543	
03.08.2014	08:57:00	177	544	
03.08.2014	08:57:00	179	548	
03.08.2014	08:57:00	180	545	
03.08.2014	08:57:00	178	547	
03.08.2014	08:57:00	176	546	
03.08.2014	08:57:00	177	544	
03.08.2014	08:57:00	172	545	
03.08.2014	08:57:00	175	543	
03.08.2014	08:57:00	176	543	
03.08.2014	08:57:00	175	543	
03.08.2014	08:57:00	176	546	
03.08.2014	08:57:00	176	543	
03.08.2014	08:57:00	177	543	
03.08.2014	08:57:00	172	539	
03.08.2014	08:57:01	176	542	
03.08.2014	08:57:01	172	539	
03.08.2014	08:57:01	176	541	
03.08.2014	08:57:01	174	539	
03.08.2014	08:57:01	175	543	
03.08.2014	08:57:01	172	543	
03.08.2014	08:57:01	172	539	
03.08.2014	08:57:01	175	539	
03.08.2014	08:57:01	177	544	
03.08.2014	08:57:01	172	539	
03.08.2014	08:57:01	176	541	
03.08.2014	08:57:01	177	541	
03.08.2014	08:57:01	175	543	
03.08.2014	08:57:01	175	535	
03.08.2014	08:57:01	175	541	
03.08.2014	08:57:01	177	544	
03.08.2014	08:57:01	173	542	
03.08.2014	08:57:01	175	543	
03.08.2014	08:57:01	176	544	
03.08.2014	08:57:01	175	540	
03.08.2014	08:57:01	177	543	
03.08.2014	08:57:02	172	543	
				
	0 Bar	175.715625	542.790625	5 Bar
